Program,Logo,Real link,Link to Website,Link to Standards,Summary/Purpose,Area of Coverage,Farm Size/Type,Types of Crops,Standards,,,,,,,,,
,,,,,,,,,Operations and Management,Soil & Water Conservation,Habitat/Biodiversity Conservation,Pests,,Pollinators,GMOs,Working Conditions,Other,
Red Tomato - Eco Certification,,https://redtomato.org/eco-fruit/what-is-eco/,What is Eco,Core Eco Protocol,"""Red Tomato has developed this protocol to achieve measurable reductions in the use of high-toxicity pesticides. Through our work, we hope to contribute to a bountiful supply of quality, local foods with minimal pesticide residues, and to improve our soil and water resources, wildlife biodiversity, farmworker safety, farm stability and farmland preservation in the Northeastern USA.""",New England,any - certification fee increases with size,"Core Eco Protocol for crops, Eco crop supplement for apples & stone fruit (extra fee)","Operations and Management
1. Are all applicable local, state and national laws, codes and regulations met including those governing all aspects of applications of pesticides, nutrients, amendments,
irrigation and other inputs?
2. Pesticides no longer used or no longer registered for use are returned to dealer or disposed of at the next collection. While in storage, obsolete pesticides are clearly marked and separated from pesticides in current use.
3. Grower has attended one or more educational meetings within the last year.
4. Application records include at least the date and time application started and ended, crop, block(s), acreage, trade name and formulation of material applied (with EPA
registration number, active ingredient, target pest for pesticides and duration of Restricted-Entry Interval), rate per acre, application method, air temperature, wind
speed and direction.
5. Grower belongs to state and/or regional grower organization(s), in addition to participation in Red Tomato programs.","Ecosystem, Soil and Water Conservation
1. Results from soil and/or foliar analyses are used to calculate nutrient application rates, minimize nutrient use and limit potential for nutrient pollution. Timing of any applications is consistent with available Extension or University guidelines.
2. Visibly eroded areas are not present and corrected in a timely manner, if they occur.
3. A vegetated buffer separates surface water from edge of crop by at least 50 feet.
4. Pesticide mixing is at least 120 feet from well heads.
5. Row middles or aisles (drive rows) are sod, mulch covered or cover cropped year round.",,"Pesticide-Risk Reduction
1. Plant and tree canopies are maintained to allow penetration of light, air and spray material using pruning, field renovation or cane removal practices.
2. Pruning debris remaining in the field is flail chopped, mowed or removed, to suppress insect pest and disease inoculum.
3. Pesticide and nutrient application equipment is calibrated at least annually. Records are maintained and include name of person completing calibration, date of calibration, equipment description and procedures, results and adjustments from calibration.
4. Pesticide drift is minimized by monitoring current wind direction and speed with a hand-held monitor, weather station or documented using online resources with real time wind-speed data.","Pest Monitoring and Management
1. Systematic sampling and monitoring are completed for all pests requiring management as per Extension recommendations.
2. If grain-based rodenticides (corn, oats) are used, they are applied in bait stations or burrows only.
3. Weed-free areas in planting rows do not extend into the row middles or aisles.
4. Herbicide mode of action is rotated between each application (during and between seasons).
5. No more than three applications of an herbicide are made per season to the same application site. A fourth spot-treatment may be made if desired control is not achieved and must be supported with documentation which identifies weed species not controlled during previous applications.","Pollinator Protection
1. Existing habitat for pollinators and nesting sites are identified and protected from drift
2. Pesticides with an EPA pollinator toxicity advisory box on the label are not applied between pink and end of crop bloom",,," Food Safety and Product Quality
1. Only fruit of sound internal and external quality are labeled and sold under Red Tomato trademarks.
2. Fruit is harvested at correct maturity according to firmness, brix or other accepted measures.
3. Fruit that has fallen to the ground (drops) are not labeled and sold under Red Tomato trademarks.
4. Clean toilet and hand-washing facilities are available to field, harvest and packing house staff.
5. Manure is not applied to sites where fruit will be harvested within 120 days of harvest.
6. Grazing of livestock or poultry to manage pests and weeds on bearing sites may only be done in compliance with the National Organic Standards. Livestock is not allowed within 90 days of harvest, for crops not touching the ground.
7. Access roads between production sites and packing/storage facilities are inspected for ruts, bumps or rocks and are repaired prior to harvest to minimize fruit damage.
8. Fruit bins and boxes are sound and cleaned as needed to remove soil, plant or animal debris prior to use.
9. Filled harvest containers are not stored outside or left in the field and are immediately transported to packing or storage facilities.
","Energy and Waste Management
1. Open burning complies with local ordinances and is limited to yard waste, wood,
pruning debris and paper-based products. Pesticide containers (including paper),
plastics, rubber or industrial products may not be disposed of by burning.
2. Buildings which are heated or cooled are insulated.
3. Disposal of lead-acid batteries, used oil, industrial chemicals and other hazardous
materials meet state and federal guidelines, i.e., lead-acid batteries are disposed by
taking to approved recycling drop-off locations, e.g., auto-service centers, municipal
recycling facilities, etc."
Food Alliance,,http://foodalliance.org/operations/,Food Alliance Certification,Crop Producers,"""The Food Alliance sustainability standard for crop operations describes in general terms a vision and goals to improve management in the following areas of concern:
Integrated pest, disease and weed management,
Soil and water conservation,
Wildlife habitat and biodiversity conservation,
Safe and fair working conditions.""",North America,"all outdoor production systems, including field and row crops, orchards, vineyards, and cranberry operations","meats, shellfish, eggs, dairy, grains, legumes, mushrooms, a wide variety of fruits and vegetables, prepared products made with these certified ingredients, and ornamental plants",,"Soil and Water Conservation, Nutrient Management
•        Continuing Education for Soil and Water Conservation
•        Buffer Strips Around Waterways
•        Soil Erosion Prevention
•        Tillage Selection Practices and Soil Compaction Prevention
•        Irrigation Systems
•        Irrigation Water Conservation
•        Nutrient Management
•        Soil Organic Matter Management","Wildlife Habitat and Biodiversity Conservation
•        Continuing Education for Wildlife Habitat Conservation
•        Farm Biodiversity Plan
•        Reducing On-Farm Threats to Wildlife
•        Biodiversity conservation in cropped or grazed areas
•        Biodiversity conservation in natural or unused areas
•        Invasive species prevention and management
•        Linking individual wildlife habitat conservation activities together","Integrated Pest, Disease and Weed Management; Pesticide Risk Reduction
•        Production plan includes Integrated Pest Management (IPM)
•        Pesticide record keeping
•        Pest prevention, avoidance, monitoring and suppression
•        Protection plans
•        Integrated Pest Management (IPM) program outcomes
•        Ecological service management outcomes
•        Risk management outcomes for pesticide risk
•        Coordinated whole operation management of pests
•        Hazardous material storage
•        Application equipment calibration and pesticide drift management
•        Food Alliance Prohibited Pesticide List",No Prohibited Pesticides ,,No Genetically Modified Organisms (GMO) or Seeds,"Safe and Fair Working Conditions
•	Minors, children and family members in the workplace
•	Grievance procedures and policies
•	Recognizing and supporting employee input for workplace improvement
•	Farm Worker Support Services
•	Discipline process
•	Nondiscrimination policy
•	Hiring practices and communicating expectations and policies
•	Work force development and new skills training
•	Compensation practices
•	Employee benefits
•	Worker housing and family support services
•	Pesticide handler/applicator safety
•	Hazardous materials emergency management
•	Sanitation and general safety",,
Bee Better,,https://beebettercertified.org/,Bee Better Certified,Bee Better Certified Production Standards,"""Bee Better Certified partners with innovative farmers and food companies to protect bees and other pollinators in agricultural lands. The Bee Better Certified seal gives consumers confidence that their purchasing decisions benefit pollinators, reward conservation-minded farmers, and incentivize the incorporation of pollinator conservation into product supply chains.""",National,all,,"Record keeping
- habitat, pesticide mitigation, and bumble bee records",,"Pollinator habitat
- habitat minimums
- bloom
- sourcing plants and seed
- nesting features
- tillage","Pesticide mitigation
- preventive non-pesticide management
- pesticide application
- minimizing off-site movement of pesticides
- pesticide use in pollinator habitat",,"Managed bumble bees
- use of commercial bumble bees",Under pesticide mitigation: Do not use genetically modified crops that express pesticides or are resistant to herbicides.,,,
Rainforest Alliance,,https://www.rainforest-alliance.org/business/certification-documents/,Rainforest Alliance Certification Documents,Rainforest Alliance Sustainable Agriculture Standard,"""The Rainforest Alliance Sustainable Agriculture Standard recognizes the challenges already being posed by climate change and seeks to address these challenges by actively promoting Climate Smart Agriculture and improving the resilience of farms and farming communities.This is accomplished by protecting native ecosystems and on-farm biodiversity, avoiding deforestation, maintaining healthy soils, sustaining water resources, and guiding farmers to select and adopt climate-smart planting materials and farming practices. Additionally, the Standard seeks to reduce the greenhouse gas emissions of agriculture associated with the use of energy, fertilizers, pesticides, and methane emissions – while maintaining or enhancing carbon stocks in soils, forests, and other on-farm vegetation. As such, the Standard promotes all three pillars of Climate Smart Agriculture: 1) sustainably increasing agricultural productivity and incomes; 2) adapting and building resilience to climate change; and 3) reducing or removing greenhouse gas emissions, where possible.""",international ,"crop and cattle
production systems",all,"Effective Planning and Management System
- Farm baseline assessment conducted
- Sold product does not exceed harvest volume
- Mixing of certified product with non-certified products prevented
- Environmental and social impact assessment (ESIA) for major land conversion/major new farm infrastructure
- Service providers are selected and monitored for compliance with applicable Critical Criteria
- Management commitment for Standard implementation and compliance with applicable law","Natural Resource Conservation
- Wastewater from processing operations meets quality parameters
- Sewage is not discharged into aquatic ecosystems
- Develop and implement an Integrated Pest Management (IPM) plan
- No use of Rainforest Alliance prohibited pesticides and application of only legally registered pesticides
- Conditions for aerial fumigation
- Rainforest Alliance certified crops do not contain GMOs
- No use of human sewage in production or processing activities","Biodiversity Conservation
- No destruction of High Conservation Value areas after November 2005
- No conversion of forests and other natural ecosystems in the past five years or after January 2014
- No negative effects on protected areas
- No hunting",IPM (Under Natural Resource Conservation),,,No GMOs (Under Natural Resource Conservation),"Improved Livelihoods and Human Wellbeing
- No forced labor
- No mistreatment of workers; no sexual harassment
- No discrimination
- Freedom of association and collective bargaining
- Payment of minimum wage
- No worst forms of child labor
- Child laborers (under 15 years) not contracted and conditions for young workers (15-17 years)
- No avoidance of benefits
- Grievance mechanisms for workers 48 regular working hours and one rest day per week
- Regulations on overtime
- Access to drinking water
- Basic conditions for housing
- Develop and implement an Occupational Health and Safety plan
- Use of Personal Protective Equipment (PPE)
- Training on pesticide risks for pesticide handlers
- All pesticide handlers use bathing facilities after application
- Avoiding risk tasks for pregnant or nursing women
- Legitimate land use rights
- Free, Prior and Informed Consent (FPIC)",,
Demeter Biodynamic,,https://www.biodynamics.com/biodynamic-principles-and-practices,Biodynamic Principles and Practices,"Demeter Association, Inc. Biodynamic Farm Standard","""In day-to-day practice the goal is to create a farm system that is minimally dependent on imported materials, and instead meets its needs from the living dynamics of the farm itself. It is the biodiversity of the farm, organized so that the waste of one part of the farm becomes the energy for another, that results in an increase in the farm's capacity for self-renewal and ultimately makes the farm sustainable. This requires that, as much as possible, a farm be regenerative rather than degenerative.""",national,all,all,,"Soil Fertility Management
Aim is to generate a farm's fertility from within the farming system itself rather than importing inputs from the outside. This generally involves the recycling of raw organic materials generated on the farm with the goal of developing soil humus and the related biological activity that such a process ignites.
Protection from Environmental Hazards
Buffer zones, high voltage power lines, spray drift and run-off, irrigation water, livestock
Generating fertility
Water and waterway conservation",,"Disease, insect and weed control
• Botanical species diversity
• Predator habitat
• Balanced crop nutrition
• Attention to light penetration and airflow
• Biodynamic preparations
• Crop rotation
• Timing of planting/Understanding of pest species life cycle",,,"GMO Avoidance and Protection
No GMOs",,"Biodynamic Preparations
use of nine preparations made from herbs, mineral substances and animal manures that are utilized in field sprays and compost inoculants applied in minute doses",
Certified Naturally Grown,,https://www.cngfarming.org/produce,Produce & Flowers Certification,Produce & Flowers Standards,"""Certified Naturally Grown farmers don't use synthetic fertilizers, pesticides, herbicide, or GMOs, just like certified organic farmers. The main difference between CNG and organic is our certification model, which relies on peer inspections, transparency, and direct relationships.""",North America,,"produce & flowers: veggies, fruits, flowers, herbs, hemp, microgreens, grains, maple, and trees (additional certification programs for other types)",,"Soil fertility and crop nutrient management
- tillage and cultivation practices that maintain or improve the physical, chemical, and biological condition of soil and minimize soil erosion
- manage crop nutrients and soil fertility through rotations, cover crops, and the application of plant and animal materials
- manage plant and animal materials to maintain or improve soil organic matter content in a manner that does not contribute to contamination of crops, soil, or water by plant nutrients, pathogenic organisms, heavy metals, or residues of prohibited substances
Seeds and planting stock
- must use Certified Naturally Grown or organically produced seeds, annual seedlings, and planting stock
Crop rotation
- Maintain or improve soil organic matter content;
- Provide for pest management in annual and perennial crops
- Manage deficient or excess plant nutrients; and
- Provide erosion control.",,"Crop pest, weed, and disease management",,,Genetically engineered seeds and crops are prohibited (under Seeds and planting stock practice standard),,,
The American National Standard for Sustainable Agriculture (ANSI/LEO-4000),,http://www.leonardoacademy.org/services/standards/agstandard.html,The American National Standard for Sustainable Agriculture,paid access to standards,"""ANSI/LEO-4000 is a comprehensive sustainable agriculture standard that empowers the entire agricultural supply chain, from producers to consumers, to decisively advance sustainability in agriculture. As a benchmarking standard, it operates as a mechanism to implement and compare sustainability achievements across all users. The Standard was developed using the American National Standards Institute (ANSI) multi-stakeholder process and was approved by ANSI on November 13, 2015. The Standard addresses food and nonfood crops.""",national,,,,,,,,,,,,
Protected Harvest,,https://www.protectedharvest.org/get-certified/,Certified Sustainable Protected Harvest,Standards,"Protected Harvest is the independent certifier and verifier for three certification labels: LODI RULES for winegrapes, SUSTAINABLE CITRUS for citrus growers, and BLOOMCHECK® for cut flowers, greens, and potted plants. Winegrape growers, citrus growers, and floral growers are eligible for certification under these programs. To be certified, growers must participate in a significant number of the relevant standard’s practices identified as environmentally sound. For each crop certification label, a specific set of standards is developed based on the ecology and agronomy of the crop and the growing region.",national,,"wine grapes, citrus, cut flowers, greens, potted plants",,,,,,,,,,
New York State Grown & Certified,,https://certified.ny.gov/get-certified,Learn How to Become New York State Grown & Certified,Produce Application,"Show New Yorkers that your products meet farm safe protocols and environmentally responsible practices by joining the New York State Grown and Certified program.
To qualify, producers must meet certification criteria:
Products are grown and produced in New York State
Farms participate in a third-party food safety verification program, if applicable
Producers participate in an environmental management program",New York,,,,,,,,,,,,
